country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-02-2026 10:00:00",21.258815,81.578979,PM10,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-02-2026 10:00:00",21.258815,81.578979,CO,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-02-2026 10:00:00",21.258815,81.578979,OZONE,NA,NA,NA
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","11-02-2026 10:00:00",21.219665,81.630094,SO2,3,14,7
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","11-02-2026 10:00:00",21.219665,81.630094,CO,35,107,77
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","11-02-2026 10:00:00",22.368195,82.746431,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","11-02-2026 10:00:00",22.348441,82.549611,PM2.5,6,302,71
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","11-02-2026 10:00:00",22.348441,82.549611,PM10,22,331,87
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","11-02-2026 10:00:00",22.126650,83.483212,PM10,63,223,120
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-02-2026 10:00:00",28.5710274,77.0719006,SO2,28,35,31
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-02-2026 10:00:00",28.5710274,77.0719006,OZONE,4,62,6
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","11-02-2026 10:00:00",28.542460,77.191651,PM2.5,53,363,195
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","11-02-2026 10:00:00",28.542460,77.191651,PM10,124,385,201
India,Delhi,Delhi,"Bawana, Delhi - DPCC","11-02-2026 10:00:00",28.776200,77.051074,OZONE,3,145,8
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","11-02-2026 10:00:00",28.5512005,77.2735737,NO2,11,52,34
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","11-02-2026 10:00:00",28.656756,77.227234,PM10,186,496,359
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","11-02-2026 10:00:00",28.672342,77.315260,OZONE,1,148,2
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","11-02-2026 10:00:00",28.699793,77.165453,NO2,91,301,238
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","11-02-2026 10:00:00",23.107969,72.574648,SO2,10,54,21
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","11-02-2026 10:00:00",23.107969,72.574648,OZONE,1,39,4
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","11-02-2026 10:00:00",22.977134,72.553024,PM10,93,162,122
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","11-02-2026 10:00:00",23.002657,72.591912,CO,8,34,26
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","11-02-2026 10:00:00",23.020509,72.579261,PM2.5,49,98,69
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","11-02-2026 10:00:00",23.020509,72.579261,CO,16,60,33
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","11-02-2026 10:00:00",23.020509,72.579261,OZONE,1,70,2
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","11-02-2026 10:00:00",23.163798,72.677768,CO,10,62,31
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-02-2026 10:00:00",23.243639,72.68994,PM2.5,35,178,80
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","11-02-2026 10:00:00",23.243639,72.68994,NH3,1,7,5
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","11-02-2026 10:00:00",23.221714,72.654328,PM10,42,134,98
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","11-02-2026 10:00:00",23.593150,72.372792,NO2,24,39,29
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","11-02-2026 10:00:00",23.593150,72.372792,NH3,1,3,2
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","11-02-2026 10:00:00",22.248853,70.776774,NH3,3,6,4
